Name,Shop Code,Latitude,Longitude,Full Address,Pincode,Type,Cuisine
Sambhar Cafe,AMD-CF-1046,23.0334428,72.4370691,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Kettl Cafe Sarkhej-Sanand Rd.,AMD-CF-1047,22.9876163,72.4476696,"Survery No. 478 Inside Nayara Energy Fuel Pump, Sarkhej-Sanand Rd, Near Telav  Ahmedabad",382210,cafe,coffee_shop;burger;sandwich;waffle;tea
Upper crust cafe,AMD-CF-1048,23.0410843,72.5269296,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
MG Science Canteen,AMD-CF-1049,23.0347461,72.5514151,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Vibes9 V9 Cafe,AMD-CF-1050,23.0677778,72.4870557,Sardar Patel Ring Road  Ahmedabad,380059,cafe,Coffee/Tea
Anticlock Canteen,GNR-CF-1051,23.2024101,72.5831926,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Aadhya Cafe,GNR-CF-1052,23.213354,72.6838841,Ahmedabad/GNR,N/A,fast_food,coffee_shop;chicken;indian
Camilo Coffee,AMD-CF-1053,23.0454565,72.4917071,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
site,AMD-CF-1054,23.0362244,72.4940097,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
NesCafe,GNR-CF-1055,23.1885664,72.6272818,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
K ++,GNR-CF-1056,23.1886074,72.6269134,Ahmedabad/GNR,N/A,cafe,coffee_shop
