Name,Shop Code,Latitude,Longitude,Full Address,Pincode
Crush Coffee - SG Highway,AMD-GKL-186,23.0245537,72.498184,", Ground Floor, Wide Angle Multiplex, Sarkhej - Gandhinagar Hwy, Ramdev Nagar, Ahmedabad, Gujarat 380015",380015
Maharaj Bhajiyawala,AMD-GKL-189,23.0518134,72.5383768,", Skd, Surya Icon, AEC Cross Rd, Gopal Nagar, Naranpura, Ahmedabad, Gujarat 380013",380013
Shree Kullad Pizza,AMD-GKL-190,23.0498238,72.5192058,", Sunset, Cinema Hall, Gurukul Rd, Nilmani Society, Memnagar, Ahmedabad, Gujarat 380054",380054
Crush Coffee - Science City,AMD-GKL-191,23.0799827,72.4923763,", G5, OBELISK, Science City Rd, Sola, Ahmedabad, Gujarat 380060",380060
Dosa Place,AMD-GKL-193,23.0401584,72.5230058,", Alpha One Mall, Gurukul, Ahmedabad, Gujarat 380054",380054
The Punjabi Virsa,AMD-GKL-195,23.0469031,72.5189146,", Basement, Swamini Complex, Drive In Rd, opposite Drive-in Cinema, near Raghudeep Eye Hospital, Sunrise Park, Gurukul, Ahmedabad, Gujarat 380054",380054
Karnavati Vadapav & Fast Food,AMD-GKL-198,23.0525019,72.5246688,", Nand Apartment, B-1, Gurukul Rd, near Navneet House, Memnagar, Ahmedabad, Gujarat 380052",380052
MS FOOD Vastrapur,AMD-GKL-200,23.038742,72.5224378,", Shubham Complex, Sunrise Park Road, Sunrise Park, Gurukul, Ahmedabad, Gujarat 380054",380054
BCD Foods,AMD-GKL-201,23.0512116,72.5245194,", Sonal Char Rasta, Gurukul Rd, near Radhika Wedding Collection, Nilmani Society, Gurukul, Ahmedabad, Gujarat 380052",380052
Gurukrapa,AMD-GKL-204,23.0526208,72.5155343,", 3G3M+2CV, Gurukul Rd, Tarun Nagar Part 2, Memnagar, Ahmedabad, Gujarat 380052",380052
MB Sandwiz Hub,AMD-GKL-211,23.0562561,72.523371,", Neeldeep Flats, Bus Stop, Gurukul Rd, near Vishramnagar, Tarun Nagar Part 1, Memnagar, Ahmedabad, Gujarat 380052",380052
18+coffeecafe,AMD-GKL-212,23.0463892,72.5251046,", Gokul Complex, L/9/3, opp. Gurukul Road, Ahmedabad, Gujarat 380052",380052
The Chaat Oasis,AMD-GKL-215,23.0581629,72.5245372,", The Chaat Oasis, Shop no. 20 Shanti Niketan Complex, near HB Kapadia School, vishram Nagar Road, Ahmedabad, Gujarat -380052 Gurukul road, road, Visharam Nagar, Ahmedabad, Gujarat 380052",380052
Hashtag vadapav,AMD-GKL-216,23.0461202,72.5248204,", 4, Heritage Plaza, Gurukul Rd, opp. swami narayan, Sushil Nagar Society, Memnagar, Ahmedabad, Gujarat 380052",380052
Cafe Cuppuccino,AMD-GKL-217,23.0420076,72.5385189,", First Floor 1 - 2, Indraprastha Business House, Near, Vijay Cross Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009
Mill & Co,AMD-GKL-218,23.0752608,71.3732952,", Renaissance Ahmedabad, Vishwas City 1, Sola, Ahmedabad, Gujarat 380060",380060
Shree Swaminarayan Gurukul,AMD-GKL-226,21.2433501,71.667032,", Ved Rd, Nani Ved, Narayan Munidev Society, Katargam, Surat, Gujarat 395004",395004
CAFE SELFIE,AMD-GKL-227,23.0497409,71.5138654,", GF/21-23, opp. RAJHANS CINEMA, New India Colony, Nicol Gam, Nikol, Ahmedabad, Gujarat 380049",380049
Pool & Cafe,AMD-GKL-233,23.0468514,72.5132207,", Drive In Rd, Nilmani Society, Memnagar, Ahmedabad, Gujarat 380052",380052
Danny's Coffee Bar,AMD-GKL-237,23.0287652,72.5250958,", GF, G-10, Madhav Complex Nr. AMA, IIM Branch, Panjarapole Cross Rd, Ahmedabad, Gujarat 380015",380015
Shiva's Coffee Bar - Vastrapur,AMD-GKL-239,23.0372304,72.5102218,", Shop No. 1, Sardar Centre, Lake, opp. Vastrapur, Nehru Park, Mahavir Nagar society, Vastrapur, Ahmedabad, Gujarat 380015",380015
Chalks & Cues Sports Cafe,AMD-GKL-243,23.0428244,72.5304043,", The Link, BUILDING, 107, Drive In Rd, University Area, Ahmedabad, Gujarat 380009",380009
Apna BBurger,AMD-GKL-245,23.0457659,72.5118496,", Sunrise Shopping Centre, opp. Drive In Road, Sunrise Park, Vastrapur, Ahmedabad, Gujarat 380054",380054
Yuvi The Cafe | Thaltej Cross Road,AMD-GKL-246,23.0536039,72.5014878,", Patel Society, Jai Ambe Nagar, Thaltej, Ahmedabad, Gujarat 380054",380054
Bhoyra cafe,AMD-GKL-249,23.0461412,72.5158146,", 01, ground floor, Heritage Plaza, Drive In Rd, opp. swaminarayan Mandir, Sushil Nagar Society, Gurukul, Ahmedabad, Gujarat 380052",380052
